slot,disk,sharble,diskname
12,6005076810810103F000000000000056,No,a0680o3odbsd415-OS
13,6005076810810103F000000000000057,No,a0680o3odbsd415-swap
14,6005076810810103F00000000000006D,Yes,+ocr_vote1-a0680o3odbsd415_416_417
15,6005076810810103F00000000000006E,Yes,+ocr_vote2-a0680o3odbsd415_416_417
16,6005076810810103F00000000000006F,Yes,+ocr_vote3-a0680o3odbsd415_416_417
17,6005076810810103F000000000000070,Yes,+oradata1-a0680o3odbsd415_416_417
18,6005076810810103F000000000000071,Yes,+oradata2-a0680o3odbsd415_416_417
19,6005076810810103F000000000000072,Yes,+oradata3-a0680o3odbsd415_416_417
20,6005076810810103F000000000000073,Yes,+oradata4-a0680o3odbsd415_416_417
21,6005076810810103F000000000000074,Yes,+oradata5-a0680o3odbsd415_416_417
22,6005076810810103F000000000000075,Yes,+oradata6-a0680o3odbsd415_416_417
23,6005076810810103F000000000000076,Yes,+oradata7-a0680o3odbsd415_416_417
24,6005076810810103F000000000000077,Yes,+oradata8-a0680o3odbsd415_416_417
25,6005076810810103F000000000000078,Yes,+oradata9-a0680o3odbsd415_416_417
26,6005076810810103F000000000000079,Yes,+oradata10-a0680o3odbsd415_416_417
27,6005076810810103F00000000000007A,Yes,+oradata11-a0680o3odbsd415_416_417
28,6005076810810103F00000000000007B,Yes,+oradata12-a0680o3odbsd415_416_417
29,6005076810810103F00000000000007C,Yes,+oradata13-a0680o3odbsd415_416_417
30,6005076810810103F00000000000007D,Yes,+oradata14-a0680o3odbsd415_416_417
31,6005076810810103F00000000000007E,Yes,+oradata15-a0680o3odbsd415_416_417
32,6005076810810103F00000000000007F,Yes,+oradata16-a0680o3odbsd415_416_417
33,6005076810810103F000000000000080,Yes,+oradata17-a0680o3odbsd415_416_417
34,6005076810810103F000000000000081,Yes,+oradata18-a0680o3odbsd415_416_417
35,6005076810810103F000000000000082,Yes,+oradata19-a0680o3odbsd415_416_417
36,6005076810810103F000000000000083,Yes,+oradata20-a0680o3odbsd415_416_417
37,6005076810810103F000000000000084,Yes,+oradata21-a0680o3odbsd415_416_417
38,6005076810810103F000000000000085,Yes,+oradata22-a0680o3odbsd415_416_417
39,6005076810810103F000000000000086,Yes,+oradata23-a0680o3odbsd415_416_417
40,6005076810810103F000000000000087,Yes,+oradata24-a0680o3odbsd415_416_417
41,6005076810810103F000000000000088,Yes,+oradata25-a0680o3odbsd415_416_417
42,6005076810810103F000000000000089,Yes,+redo1_1-a0680o3odbsd415_416_417
43,6005076810810103F00000000000008A,Yes,+redo1_2-a0680o3odbsd415_416_417
44,6005076810810103F00000000000008B,Yes,+redo1_3-a0680o3odbsd415_416_417
45,6005076810810103F00000000000008C,Yes,+redo1_4-a0680o3odbsd415_416_417
46,6005076810810103F00000000000008D,Yes,+redo2_1-a0680o3odbsd415_416_417
47,6005076810810103F00000000000008E,Yes,+redo2_2-a0680o3odbsd415_416_417
48,6005076810810103F00000000000008F,Yes,+redo2_3-a0680o3odbsd415_416_417
49,6005076810810103F000000000000090,Yes,+redo2_4-a0680o3odbsd415_416_417
50,6005076810810103F000000000000091,Yes,+fra1-a0680o3odbsd415_416_417
51,6005076810810103F000000000000092,Yes,+fra2-a0680o3odbsd415_416_417
52,6005076810810103F000000000000093,Yes,+fra3-a0680o3odbsd415_416_417
53,6005076810810103F000000000000094,Yes,+fra4-a0680o3odbsd415_416_417
54,6005076810810103F000000000000095,Yes,+fra5-a0680o3odbsd415_416_417
55,6005076810810103F000000000000096,Yes,+temp-a0680o3odbsd415_416_417
56,6005076810810103F000000000000061,No,d1bin-a0680o3odbsd415
57,6005076810810103F000000000000064,No,gridbin-a0680o3odbsd415
58,6005076810810103F000000000000067,No,tmp-a0680o3odbsd415,,
59,6005076810810103F00000000000006A,No,export-a0680o3odbsd415
60,6005076810810103F00000000000005C,No,gg_home-a0680o3odbsd415
61,6005076810810103F00000000000005F,Yes,+gg_acfs1-a0680o3odbsd415_416_417
62,6005076810810103F000000000000060,Yes,+gg_acfs2-a0680o3odbsd415_416_417
63,6005076810810103F000000000000097,Yes,+d1back1-a0680o3odbsd415_416_417
64,6005076810810103F000000000000098,Yes,+d1back2-a0680o3odbsd415_416_417
65,6005076810810103F000000000000099,Yes,+d1back3-a0680o3odbsd415_416_417
66,6005076810810103F00000000000009A,Yes,+d1back4-a0680o3odbsd415_416_417
67,6005076810810103F00000000000009B,Yes,+d1back5-a0680o3odbsd415_416_417
68,6005076810810103F00000000000009C,Yes,+d1back6-a0680o3odbsd415_416_417
69,6005076810810103F00000000000009D,Yes,+d1back7-a0680o3odbsd415_416_417
70,6005076810810103F00000000000009E,Yes,+d1back8-a0680o3odbsd415_416_417
71,6005076810810103F00000000000009F,Yes,+d1back9-a0680o3odbsd415_416_417
72,6005076810810103F0000000000000A0,Yes,+d1back10-a0680o3odbsd415_416_417
73,6005076810810103F0000000000000A1,Yes,+d1back11-a0680o3odbsd415_416_417
74,6005076810810103F0000000000000A2,Yes,+d1back12-a0680o3odbsd415_416_417
75,6005076810810103F0000000000000A3,Yes,+d1back13-a0680o3odbsd415_416_417
76,6005076810810103F0000000000000A4,Yes,+d1back14-a0680o3odbsd415_416_417
77,6005076810810103F0000000000000A5,Yes,+d1back15-a0680o3odbsd415_416_417
78,6005076810810103F0000000000000A6,Yes,+d1back16-a0680o3odbsd415_416_417
79,6005076810810103F0000000000000A7,Yes,+d1back17-a0680o3odbsd415_416_417
80,6005076810810103F0000000000000A8,Yes,+d1back18-a0680o3odbsd415_416_417
81,6005076810810103F0000000000000A9,Yes,+d1back19-a0680o3odbsd415_416_417
82,6005076810810103F0000000000000AA,Yes,+d1back20-a0680o3odbsd415_416_417
